HCB2#05.07.09 01:38:39#1246793919#127.0.0.1
7YYF#05.07.09 01:44:10#1246794250#127.0.0.1
QUKS#05.07.09 01:44:13#1246794253#127.0.0.1
D5FH#05.07.09 01:44:17#1246794257#127.0.0.1
C6QH#05.07.09 01:44:26#1246794266#127.0.0.1
VDCJ#05.07.09 01:44:36#1246794276#127.0.0.1
U2RM#05.07.09 01:44:39#1246794279#127.0.0.1
VJ2E#05.07.09 01:45:01#1246794301#127.0.0.1
YNLQ#05.07.09 01:46:33#1246794393#127.0.0.1
BQ7T#05.07.09 01:46:33#1246794393#127.0.0.1
AYE6#05.07.09 01:47:03#1246794423#127.0.0.1
F6VW#05.07.09 01:47:05#1246794425#127.0.0.1
